"Bit(s)","Field Name","Description","Type","Reset"
"31-22","-","Reserved","R","0"
"21-0","FENn (n=32..53)","0 = Falling edge detect disabled on GPIO pin n. 
1 = Falling edge on GPIO pin n sets corresponding bit in 
EDSn.","R/W","0"
