"Bit(s)","Field Name","Description","Type","Reset"
"31-22","-","Reserved","R","0"
"21-0","RENn 
(n=32..53)","0 = Rising edge detect disabled on GPIO pin n. 
1 = Rising edge on GPIO pin n sets corresponding bit 
in EDSn.","R/W","0"
