"Bit(s)","Field Name","Description","Type","Reset"
"31-22","-","Reserved","R","0"
"21-0","ARENn 
(n=32..53)","0 = Asynchronous rising edge detect disabled on GPIO pin 
n. 
1 = Asynchronous rising edge on GPIO pin n sets 
corresponding bit in EDSn.","R/W","0"
