"Bit(s)","Field Name","Description","Type","Reset"
"31:30","GPIO_PUP_PDN_C
NTRL47","Resistor Select for GPIO47
00 = No resistor is selected
01 = Pull up resistor is selected
10 = Pull down resistor is selected
11 = Reserved","RW","0x2"
"29:28","GPIO_PUP_PDN_C
NTRL46","Resistor Select for GPIO46","RW","0x2"
"27:26","GPIO_PUP_PDN_C
NTRL45","Resistor Select for GPIO45","RW","0x2"
"25:24","GPIO_PUP_PDN_C
NTRL44","Resistor Select for GPIO44","RW","0x2"
